Wall time,Step,Value
1748669884.005092,1,1.8670910596847534
1748670895.940269,2,1.1416916847229004
1748671904.1298032,3,0.9308706521987915
1748672918.3474164,4,0.7810854315757751
1748673943.8036537,5,0.6265990138053894
1748674989.8500454,6,0.5557066798210144
1748675994.427762,7,0.4607406556606293
1748676997.2655807,8,0.44299203157424927
1748678002.3690622,9,0.39527803659439087
1748679007.9373548,10,0.36803147196769714
1748680012.8942387,11,0.36856067180633545
1748681017.993185,12,0.34740084409713745
1748682024.108903,13,0.27671727538108826
1748683029.380474,14,0.2711166441440582
1748684035.8209848,15,0.28165650367736816
